"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit"
"org.sample.III11ll1I.pingpong","thrpt",2,5,35197826.070732,7039016.094803,"ops/s"
"org.sample.III11ll1I.pingpong:lI1l11l1I","thrpt",2,5,17598905.977236,3519478.258859,"ops/s"
"org.sample.III11ll1I.pingpong:lIllIl11I","thrpt",2,5,17598920.093496,3519537.836323,"ops/s"
