"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit"
"org.sample.Il111III1.I11I1lIll","avgt",1,25,0.272949,0.007099,"ns/op"
"org.sample.Il111III1.lIIII111I","avgt",1,25,5.706758,0.203282,"ns/op"
