"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit"
"org.sample.JMHSample_11_Loops.measureRight","avgt",1,5,0.507799,0.166257,"ns/op"
"org.sample.JMHSample_11_Loops.measureWrong_1","avgt",1,5,0.424200,0.022233,"ns/op"
"org.sample.JMHSample_11_Loops.measureWrong_10","avgt",1,5,0.050009,0.005580,"ns/op"
"org.sample.JMHSample_11_Loops.measureWrong_100","avgt",1,5,0.015918,0.001204,"ns/op"
"org.sample.JMHSample_11_Loops.measureWrong_1000","avgt",1,5,0.010065,0.000443,"ns/op"
"org.sample.JMHSample_11_Loops.measureWrong_10000","avgt",1,5,0.009995,0.000213,"ns/op"
"org.sample.JMHSample_11_Loops.measureWrong_100000","avgt",1,5,0.010596,0.005281,"ns/op"
