"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit"
"org.sample.Jobf_11_Loops.measureRight","avgt",1,5,0.433912,0.088664,"ns/op"
"org.sample.Jobf_11_Loops.measureWrong_1","avgt",1,5,1.188537,0.018491,"ns/op"
"org.sample.Jobf_11_Loops.measureWrong_10","avgt",1,5,0.225885,0.005187,"ns/op"
"org.sample.Jobf_11_Loops.measureWrong_100","avgt",1,5,0.030642,0.000256,"ns/op"
"org.sample.Jobf_11_Loops.measureWrong_1000","avgt",1,5,0.013561,0.002266,"ns/op"
"org.sample.Jobf_11_Loops.measureWrong_10000","avgt",1,5,0.009823,0.000186,"ns/op"
"org.sample.Jobf_11_Loops.measureWrong_100000","avgt",1,5,0.008842,0.000136,"ns/op"
